system:index,area_km2,year,class,band,class_name,.geo
6_0_2,0.573230123,1991,9,classification_1991,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_3,674.0619163,1991,11,classification_1991,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_4,1118.752366,1991,12,classification_1991,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_5,6016.549978,1991,15,classification_1991,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_6,0.007742315308,1991,20,classification_1991,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_7,4181.980098,1991,21,classification_1991,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_8,74.35588813,1991,24,classification_1991,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_9,182.0269127,1991,25,classification_1991,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_10,288.418833,1991,29,classification_1991,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_11,209.1484984,1991,33,classification_1991,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_12,1597.185402,1991,39,classification_1991,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_13,322.9758276,1991,41,classification_1991,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_0,5579.441639,1992,3,classification_1992,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_1,7359.292355,1992,4,classification_1992,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_2,0.9623527382,1992,9,classification_1992,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_3,420.8809979,1992,11,classification_1992,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_4,1351.121873,1992,12,classification_1992,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_5,6343.857662,1992,15,classification_1992,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_6,3974.196393,1992,21,classification_1992,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_7,77.15448037,1992,24,classification_1992,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_8,170.0758852,1992,25,classification_1992,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_9,288.470384,1992,29,classification_1992,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_10,216.0856921,1992,33,classification_1992,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_11,1606.013456,1992,39,classification_1992,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_12,337.4677922,1992,41,classification_1992,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,5642.07887,1993,3,classification_1993,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_1,7171.121297,1993,4,classification_1993,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_2,1.180401006,1993,9,classification_1993,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_3,626.3622499,1993,11,classification_1993,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_4,1134.562149,1993,12,classification_1993,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_5,6633.768772,1993,15,classification_1993,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_6,3756.847769,1993,21,classification_1993,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_7,77.7672918,1993,24,classification_1993,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_8,157.1457603,1993,25,classification_1993,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_9,288.4574454,1993,29,classification_1993,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_10,213.6392198,1993,33,classification_1993,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_11,1627.716157,1993,39,classification_1993,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_12,394.3735799,1993,41,classification_1993,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_0,5591.466007,1994,3,classification_1994,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_1,7032.927633,1994,4,classification_1994,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_2,1.206181596,1994,9,classification_1994,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_3,572.2640598,1994,11,classification_1994,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_4,1206.313062,1994,12,classification_1994,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_5,6954.344867,1994,15,classification_1994,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
